K,Accuracy
1,0.53125
2,0.46875
3,0.625
4,0.625
5,0.5625
6,0.59375
7,0.59375
8,0.59375
9,0.59375
10,0.625
11,0.625
12,0.59375
13,0.625
14,0.59375
15,0.59375
16,0.59375
17,0.625
18,0.65625
19,0.65625
20,0.625
21,0.625
22,0.625
23,0.625
24,0.625
25,0.625
26,0.625
27,0.625
28,0.625
29,0.625
30,0.625
31,0.59375
32,0.625
33,0.625
34,0.625
35,0.625
36,0.625
37,0.65625
38,0.65625
39,0.65625
40,0.6875
41,0.6875
42,0.6875
43,0.6875
44,0.6875
45,0.65625
46,0.6875
47,0.6875
48,0.65625
49,0.6875
50,0.65625
51,0.65625
52,0.6875
53,0.65625
54,0.6875
55,0.6875
56,0.6875
57,0.6875
58,0.6875
59,0.6875
60,0.6875
61,0.6875
62,0.6875
63,0.6875
64,0.6875
65,0.6875
66,0.625
67,0.625
68,0.625
69,0.625
70,0.625
71,0.625
72,0.625
73,0.625
74,0.59375
75,0.59375
76,0.59375
77,0.5
78,0.5
79,0.53125
80,0.5
81,0.5
82,0.5
83,0.5
84,0.5
85,0.53125
86,0.53125
87,0.53125
88,0.5
89,0.53125
90,0.53125
91,0.53125
92,0.53125
93,0.53125
94,0.375
95,0.59375
96,0.59375
97,0.59375
98,0.59375
99,0.59375
100,0.5625
101,0.5625
102,0.5625
103,0.5625
104,0.46875
105,0.46875
106,0.46875
107,0.46875
108,0.46875
109,0.46875
110,0.46875
111,0.46875
112,0.46875
113,0.46875
114,0.4375
115,0.4375
116,0.4375
117,0.4375
118,0.4375
119,0.4375
120,0.4375
121,0.4375
122,0.4375
123,0.4375
124,0.4375
125,0.4375
126,0.4375
127,0.4375
128,0.4375
